Employee ID,Name,Department,Role,Official Email,Phone Number,Aadhaar Number,Residential Address,Personal Email ID,PAN Number,Address,Email,Phone,Next_of_kin_name,Next_of_kin_relation,Next_of_kin_phone,Next_of_kin_email,Edge_Case,Latitude,Longitude,Country
QIN1091,Billy Harding,IT,Coordinator,neha.joshi@qualcomm.in,-7264747611,6834-6042-9795,"257, Sector 5, Hyderabad",neha.joshi@gmail.com,THFAB6011D,"Plot No. 446, Jayanagar 4th Block, Bangalore, Karnataka",,,Lisa Bishop,Spouse,916178000000,lisa@bishop.com,,12.92754254,77.58247161,India
QIN1082,Billy Wright,IT,Coordinator,ravi.malhotra@qualcomm.in,-9321435258,6997-6591-6122,"844, Phase 10, Noida",ravi.malhotra@yahoo.com,MBEIB3754H,"House No. 441, HSR Layout Sector 57, Bangalore, Karnataka",,,Sarah Davenport,Mother,918864000000,sarah@davenport.com,,12.91345,77.64042,India
QIN1058,Caitlin Sloan,Project Management,Engineer,deepak.chowdhury@qualcomm.in,-7118036534,8202-8940-2844,"288, Phase 2, Pune",deepak.chowdhury@gmail.com,DEKGS4424O,"Bungalow No. 58, Hauz Khas Enclave, New Delhi",,,Eric Tran,Father,916704000000,eric@tran.com,,28.54959829,77.20159066,India
QIN1064,Casey Long,Procurement,Coordinator,neha.sharma@qualcomm.in,-7473708419,7908-7676-6235,"395, Phase 7, Chennai",neha.sharma@outlook.com,KNUQL4056V,"House No. 186, Sector 113, Gurgaon, Haryana",,,Jennifer Miller,Kid,917028000000,jennifer@miller.com,,28.52714886,77.02156666,India
QIN1030,Charles Aguirre MD,Compliance,Engineer,kiran.iyer@qualcomm.in,-8952184269,6858-6705-9004,"605, Sector 2, Bangalore",kiran.iyer@outlook.com,ZQUTG6772I,"House No. 413, HSR Layout Sector 162, Bangalore, Karnataka",,,Craig Christian,Kid,917381000000,craig@christian.com,,12.91345,77.64042,India
QIN1097,Christina Garcia,Compliance,Analyst,deepak.reddy@qualcomm.in,-7958448936,9861-1785-2537,"194, Phase 12, Pune",deepak.reddy@yahoo.com,RZOQN7661L,"Plot 418, Sector 36, Faridabad, Haryana",,,Melissa Espinoza,Kid,918379000000,melissa@espinoza.com,,28.4753242,77.30948811,India
QIN1081,Christine Sampson,Engineering,Coordinator,meera.malhotra@qualcomm.in,-8104310509,4543-8228-9435,"101, Sector 4, Pune",meera.malhotra@gmail.com,POVAU5506G,"Apartment 203, Green Park Main, New Delhi",,,Kathy Cervantes,Mother,917750000000,kathy@cervantes.com,,28.55909283,77.20382355,India
QIN1080,Christopher Thompson,Procurement,Manager,arjun.nair@qualcomm.in,-9594725413,2279-2962-2599,"566, Phase 16, Pune",arjun.nair@yahoo.com,IQCAY1649J,"Villa 74, Greenfields Colony, Faridabad, Haryana",,,Penny Davis,Mother,917324000000,penny@davis.com,,28.46652235,77.29869906,India
QIN1094,Connie Mcclure,Project Management,Coordinator,suresh.iyer@qualcomm.in,-7821484541,9500-7130-7568,"130, Sector 15, Noida",suresh.iyer@outlook.com,PWXQM2912V,"H.No. 498, Malviya Nagar, New Delhi",,,Bradley Russo,Father,919359000000,bradley@russo.com,,28.53006699,77.2088118,India
QIN1008,Curtis Booker,Admin,Coordinator,ravi.patel@qualcomm.in,-9870887407,6095-5662-7240,"443, Phase 4, Hyderabad",ravi.patel@yahoo.com,CQQOZ6571H,"House No. 274, Banjara Hills Road No. 374, Hyderabad, Telangana",,,Leslie Williams,Kid,916467000000,leslie@williams.com,,17.41908967,78.43919794,India
QIN1069,Cynthia Robinson,Procurement,Executive,ravi.nair@qualcomm.in,-8631074929,5624-2037-2964,"138, Phase 17, Pune",ravi.nair@gmail.com,CRLFE8864O,"Flat 261, Botanical Garden Road, Kondapur, Hyderabad, Telangana",,,Joseph Russell,Spouse,916984000000,joseph@russell.com,,17.46215316,78.35240393,India
QIN1019,Darren Flynn,Project Management,Manager,deepak.iyer@qualcomm.in,-9210293158,6509-7659-7515,"884, Phase 12, Noida",deepak.iyer@outlook.com,KWPFS5283S,"Plot 72, Gachibowli Main Road, Hyderabad, Telangana",,,Caleb Flores,Kid,918943000000,caleb@flores.com,,17.47831349,78.32024466,India
QIN1083,David Smith,Compliance,Coordinator,arjun.reddy@qualcomm.in,-9744640893,1194-6255-5965,"264, Sector 5, Hyderabad",arjun.reddy@gmail.com,VVPDB3205Y,"H.No. 414, Malviya Nagar, New Delhi",,,Julie Rangel,Mother,918342000000,julie@rangel.com,,28.53006699,77.2088118,India
QIN1006,Dawn Gilmore,Compliance,Analyst,amit.joshi@qualcomm.in,-9238854190,1559-6311-4089,"167, Phase 17, Noida",amit.joshi@outlook.com,TARMD3905R,"Plot No. 499, Jayanagar 4th Block, Bangalore, Karnataka",,,Sonya Schmidt,Kid,916435000000,sonya@schmidt.com,,12.92754254,77.58247161,India
QIN1062,Deborah Clark,IT,Executive,ravi.verma@qualcomm.in,-9963884786,9135-2058-8727,"727, Phase 12, Noida",ravi.verma@yahoo.com,ZAUNM3546K,"Villa 361, Jubilee Hills Phase 36, Hyderabad, Telangana",,,David Young,Brother,919810000000,david@young.com,,17.42799627,78.39560671,India
QIN1043,Deepak Chowdhury,Engineering,Coordinator,deepak.chowdhury@qualcomm.in,-8541618170,3305-9193-2224,"864, Sector 7, Bangalore",deepak.chowdhury@yahoo.com,IHMBI2732D,"373, Sector 15, New Delhi",,,Jignesh Chowdhury,Kid,918839000000,john@reilly.com,employee address same as company,28.7315412,77.12626017,India
QIN1009,Deepak Iyer,Project Management,Engineer,priya.sharma@qualcomm.in,-8034370784,5843-9777-9145,"524, Phase 15, Pune",priya.sharma@gmail.com,PHSTV4280M,"Apartment 3A, Vipul Greens, Sohna Road, Gurgaon, Haryana",,,Adrian Iyer,Father,917909000000,adrian@iyer.com,,28.41650109,77.03890127,India
QIN1016,Denise Mason,Engineering,Analyst,neha.nair@qualcomm.in,-8395399669,3405-5104-6070,"828, Sector 1, Pune",neha.nair@outlook.com,WXIEC3556N,"Plot No. 195, Jayanagar 4th Block, Bangalore, Karnataka",,,Jennifer Harvey,Mother,919043000000,jennifer@harvey.com,,12.92809212,77.58265655,India
QIN1005,Dennis Duncan,Admin,Analyst,suresh.joshi@qualcomm.in,-7058552346,2988-2587-9128,"195, Sector 12, Hyderabad",suresh.joshi@outlook.com,TGNJQ3461H,"House No. 358, Banjara Hills Road No. 217, Hyderabad, Telangana",,,Michael Williamson,Kid,916221000000,michael@williamson.com,,17.41908967,78.43919794,India
QIN1088,Diana Kelly,Procurement,Analyst,priya.chowdhury@qualcomm.in,-9873560456,8045-8446-1739,"786, Phase 16, Chennai",priya.chowdhury@yahoo.com,AINVI8962F,"Villa 312, RMV Extension, Bangalore, Karnataka",,,Robert Taylor,Father,918284000000,robert@taylor.com,,13.04388562,77.57809885,India
QIN1072,Douglas Frazier,IT,Executive,arjun.iyer@qualcomm.in,-7476232985,9392-2472-6109,"175, Sector 6, Bangalore",arjun.iyer@gmail.com,RKPRN8670M,"Apartment 1804, Salarpuria Greenage Alpine Block, Hosur Road, Bangalore, Karnataka",,,John Francis,Kid,917591000000,john@francis.com,,12.90204851,77.62985469,India
QIN1071,Dr. Matthew Martin,Compliance,Coordinator,priya.kumar@qualcomm.in,-8227937856,2608-2299-7503,"515, Sector 19, Bangalore",priya.kumar@yahoo.com,RZMSM3415Z,"House No. 233, Banjara Hills Road No. 2, Hyderabad, Telangana",,,Christopher Rodriguez,Kid,918378000000,christopher@rodriguez.com,,17.41908967,78.43919794,India
QIN1077,Eddie Fry,Admin,Manager,meera.kumar@qualcomm.in,-9657897956,4271-5502-7506,"132, Phase 10, Noida",meera.kumar@yahoo.com,EPUUI3223G,"H.No. 498, Malviya Nagar, New Delhi",,,Jonathan Farrell,Spouse,916797000000,jonathan@farrell.com,,28.53006699,77.2088118,India
QIN1100,Edward Davis,Admin,Engineer,deepak.kumar@qualcomm.in,-8795067397,1977-9115-3143,"517, Phase 4, Chennai",deepak.kumar@yahoo.com,AJTOS2541S,"No. 288, 1st Cross, Indiranagar, Bangalore, Karnataka",,,Eric Clark,Spouse,917853000000,eric@clark.com,,12.97371057,77.65258243,India
QIN1076,Elizabeth Rodriguez,Engineering,Manager,rina.kumar@qualcomm.in,-8865097792,5052-5397-2412,"436, Sector 12, Chennai",rina.kumar@yahoo.com,USHGS6834H,"H.No. 474, Malviya Nagar, New Delhi",,,Ashley Taylor,Spouse,917795000000,ashley@taylor.com,,28.53006699,77.2088118,India
QIN1093,Elizabeth Wallace,Project Management,Executive,arjun.sharma@qualcomm.in,-7785185516,6388-8731-9627,"260, Sector 10, Noida",arjun.sharma@gmail.com,CUQWX8052L,"No. 389, 1st Cross, Indiranagar, Bangalore, Karnataka",,,Elizabeth Lee,Spouse,917086000000,elizabeth@lee.com,,12.97371057,77.65258243,India
QIN1003,Emily Norton,Admin,Analyst,meera.nair@qualcomm.in,-7006599936,7664-1707-1701,"406, Phase 6, Chennai",meera.nair@outlook.com,YIQZP5491O,"Villa 79, Jubilee Hills Phase 192, Hyderabad, Telangana",,,Thomas Dyer,Kid,917379000000,thomas@dyer.com,,17.42911527,78.39703216,India
QIN1025,Eric Carrillo,Engineering,Executive,ravi.chowdhury@qualcomm.in,-7568345744,9029-7659-1968,"982, Phase 18, Hyderabad",ravi.chowdhury@outlook.com,LXGWL6009T,"Plot 485, Sector 282, Faridabad, Haryana",,,Joanna Leach,Kid,918348000000,joanna@leach.com,,28.44493298,77.33121998,India
QIN1099,Eric Lewis,Project Management,Coordinator,meera.reddy@qualcomm.in,-7406016686,9904-8415-1668,"767, Sector 3, Bangalore",meera.reddy@outlook.com,UYPXR9524J,"House No. 406, Banjara Hills Road No. 349, Hyderabad, Telangana",,,Savannah Horton,Spouse,916095000000,savannah@horton.com,,17.41908967,78.43919794,India
QIN1053,Frank Hughes,Compliance,Coordinator,deepak.kumar@qualcomm.in,-9217791991,8215-9426-9303,"206, Phase 16, Chennai",deepak.kumar@yahoo.com,NHJTF4506D,"House No. 138, Sector 34, Gurgaon, Haryana",,,Mikayla Harmon,Kid,919251000000,mikayla@harmon.com,,28.42940906,77.00419093,India
QIN1044,James Ball,Project Management,Analyst,meera.sharma@qualcomm.in,-8438100785,5883-5005-1928,"389, Sector 4, Noida",meera.sharma@yahoo.com,QIDKI1325B,"Bungalow No. 53, Hauz Khas Enclave, New Delhi",,,Mark Schultz,Kid,917371000000,mark@schultz.com,,28.54959829,77.20159066,India
QIN1075,Jason Esparza,Procurement,Analyst,suresh.chowdhury@qualcomm.in,-8464205876,3086-2915-4659,"121, Sector 1, Noida",suresh.chowdhury@outlook.com,CGLHY9631E,"Villa 344, Jubilee Hills Phase 137, Hyderabad, Telangana",,,Veronica Huerta,Spouse,919577000000,veronica@huerta.com,,17.42843096,78.39667129,India
QIN1068,Jason Flynn,Admin,Coordinator,amit.sharma@qualcomm.in,-7077163825,4130-8458-8665,"646, Sector 6, Noida",amit.sharma@gmail.com,KBOCZ4504M,"Plot 203, Sector 453, Faridabad, Haryana",,,Carol Butler,Spouse,919515000000,carol@butler.com,,28.44991942,77.29954153,India
QIN1038,Jeanette Chavez,IT,Coordinator,suresh.chowdhury@qualcomm.in,-9602924347,9831-1155-1803,"703, Phase 8, Pune",suresh.chowdhury@gmail.com,TEJQU3047K,"Flat 425, Saket DDA Apartments, New Delhi",,,Candice Owens,Sister,917595000000,candice@owens.com,,28.5240261,77.20251155,India
QIN1085,Jeffrey Sandoval,Engineering,Analyst,priya.iyer@qualcomm.in,-8772829225,9699-8381-1808,"346, Sector 6, Pune",priya.iyer@gmail.com,PJZIA2782L,"H.No. 415, Malviya Nagar, New Delhi",,,Lisa Howard,Mother,916135000000,lisa@howard.com,,28.53006699,77.2088118,India
QIN1067,Jessica Finley,Admin,Coordinator,ravi.iyer@qualcomm.in,-8823174908,4581-5434-4574,"114, Phase 16, Bangalore",ravi.iyer@yahoo.com,HHTWD5184S,"Plot 84, Greater Kailash II, New Delhi",,,Rhonda Terry,Spouse,916808000000,rhonda@terry.com,,28.53720479,77.24046757,India
QIN1040,Jill Gomez,Project Management,Coordinator,priya.patel@qualcomm.in,-8613179458,4586-3322-6530,"617, Phase 1, Hyderabad",priya.patel@yahoo.com,RJXVA1424Q,"Plot 296, Greater Kailash II, New Delhi",,,Taylor Leblanc,Brother,916172000000,taylor@leblanc.com,,28.53720479,77.24046757,India
QIN1027,Jimmy Cobb,IT,Executive,ravi.malhotra@qualcomm.in,-7328585461,8954-5248-3069,"325, Phase 18, Hyderabad",ravi.malhotra@gmail.com,HHCUQ6511W,"Plot No. 347, Jayanagar 4th Block, Bangalore, Karnataka",,,Chase Barr,Kid,917017000000,chase@barr.com,,12.92809212,77.58265655,India
QIN1020,Joseph Campbell,Compliance,Analyst,rina.joshi@qualcomm.in,-7163412949,4463-2716-9639,"200, Sector 19, Noida",rina.joshi@gmail.com,VQVCU7654D,"H.No. 233, Malviya Nagar, New Delhi",,,Danielle Franklin,Kid,917359000000,danielle@franklin.com,,28.53006699,77.2088118,India
QIN1078,Julia Phelps,Admin,Coordinator,priya.sharma@qualcomm.in,-7658750895,7966-9458-5618,"858, Sector 10, Chennai",priya.sharma@outlook.com,ALMNC2201S,"Plot 47, Sector 387, Faridabad, Haryana",,,Nancy Joseph,Kid,918054000000,nancy@joseph.com,,28.3983008,77.29421544,India
QIN1011,Julie Horton,IT,Coordinator,kiran.patel@qualcomm.in,-8044249638,8069-6871-5538,"887, Phase 3, Hyderabad",kiran.patel@yahoo.com,KMULR9361S,"House No. 277, Banjara Hills Road No. 489, Hyderabad, Telangana",,,Catherine Ellis,Mother,916443000000,catherine@ellis.com,,17.41908967,78.43919794,India
QIN1055,Julie Hubbard,Admin,Manager,suresh.nair@qualcomm.in,-8300919542,5319-9945-5055,"942, Sector 5, Noida",suresh.nair@yahoo.com,CRDDJ1120V,"Villa 112, RMV Extension, Bangalore, Karnataka",,,Amy Boone,Mother,917060000000,amy@boone.com,,13.04399648,77.57781056,India
QIN1073,Justin Porter,Project Management,Coordinator,kiran.joshi@qualcomm.in,-7538209337,8828-9347-2420,"338, Phase 16, Chennai",kiran.joshi@gmail.com,FFQSW4211P,"House No. 124, HSR Layout Sector 450, Bangalore, Karnataka",,,Cassandra Henry,Spouse,919729000000,cassandra@henry.com,,12.91344928,77.6404155,India
QIN1002,Katherine Anderson,Engineering,Manager,arjun.nair@qualcomm.in,-7905778842,8456-4693-4810,"832, Phase 4, Pune",arjun.nair@outlook.com,RHDWL4188W,"Flat 431, Saket DDA Apartments, New Delhi",,,Rachel Anderson,Mother,917999000000,rachel@anderson.com,mother is company director,28.5240261,77.20251155,India
QIN1042,Katherine Rodgers,IT,Coordinator,amit.joshi@qualcomm.in,-9702205009,3058-5890-7104,"368, Phase 13, Chennai",amit.joshi@yahoo.com,TJHNO8119U,"Plot 450, Greater Kailash II, New Delhi",,,Ann Knapp,Kid,918738000000,ann@knapp.com,,28.53720479,77.24046757,India
QIN1095,Kayla Jacobs,Admin,Executive,suresh.malhotra@qualcomm.in,-9014073491,6366-7131-7211,"495, Phase 6, Hyderabad",suresh.malhotra@yahoo.com,CRJOK3845O,"Villa 44, RMV Extension, Bangalore, Karnataka",,,Elizabeth Zamora,Kid,919365000000,elizabeth@zamora.com,,13.04453484,77.5777342,India
QIN1087,Kaylee Garza,IT,Manager,neha.joshi@qualcomm.in,-9250633356,9980-2227-6662,"932, Sector 14, Pune",neha.joshi@yahoo.com,XDOER5394I,"Plot 351, Gachibowli Main Road, Hyderabad, Telangana",,,Martin Carlson,Father,918197000000,martin@carlson.com,,17.47831349,78.32024466,India
QIN1086,Kaylee Wood,Procurement,Coordinator,suresh.verma@qualcomm.in,-8959687108,3310-3374-8262,"743, Sector 2, Bangalore",suresh.verma@gmail.com,ALESP3796M,"Bungalow No. 251, Hauz Khas Enclave, New Delhi",,,Cynthia Hughes,Mother,917240000000,cynthia@hughes.com,,28.54959829,77.20159066,India
QIN1021,Kevin Villarreal,IT,Executive,meera.malhotra@qualcomm.in,-9431037801,8412-1868-9112,"352, Sector 11, Noida",meera.malhotra@outlook.com,RJWBK5517U,"Apartment 1A, Vipul Greens, Sohna Road, Gurgaon, Haryana",,,Caitlyn White,Kid,919305000000,caitlyn@white.com,,28.41650109,77.03890127,India
QIN1098,Kyle Owens,Project Management,Analyst,arjun.nair@qualcomm.in,-9056498205,7491-3756-8860,"662, Sector 6, Pune",arjun.nair@yahoo.com,KDRFO5239T,"H.No. 72, Malviya Nagar, New Delhi",,,Paul Morales,Spouse,919724000000,paul@morales.com,,28.53006699,77.2088118,India
QIN1049,Laura Carter,Compliance,Coordinator,meera.patel@qualcomm.in,-9118577707,1833-6145-5865,"586, Sector 20, Hyderabad",meera.patel@outlook.com,ECDMK2241I,"Plot 310, Greater Kailash II, New Delhi",,,Larry Romero,Brother,917585000000,larry@romero.com,,28.53720479,77.24046757,India
QIN1039,Louis Bailey,IT,Analyst,priya.joshi@qualcomm.in,-9901070480,6967-1710-7652,"804, Phase 6, Bangalore",priya.joshi@gmail.com,GSVVZ3128T,"Apartment 1201, Salarpuria Greenage Alpine Block, Hosur Road, Bangalore, Karnataka",,,Seth Henry,Brother,917903000000,seth@henry.com,,12.90204851,77.62985469,India
QIN1026,Luke Weeks,Project Management,Analyst,meera.malhotra@qualcomm.in,-9721072436,7788-4107-6847,"810, Sector 9, Pune",meera.malhotra@yahoo.com,UZJMK2710E,"Apartment 306, Sushant Lok Phase 33, Gurgaon, Haryana",,,Susan Russell,Kid,918606000000,susan@russell.com,,28.42295107,77.07516018,India
QIN1074,Marc Page,IT,Executive,amit.nair@qualcomm.in,-8357500385,6946-5537-9591,"828, Sector 2, Hyderabad",amit.nair@outlook.com,GGSMO3482M,"Flat 41, Saket DDA Apartments, New Delhi",,,Samantha Cortez,Spouse,917543000000,samantha@cortez.com,,28.5240261,77.20251155,India
QIN1066,Marie Brown,Engineering,Executive,priya.joshi@qualcomm.in,-8215244647,3068-3538-1223,"765, Sector 1, Hyderabad",priya.joshi@outlook.com,AGHKM8458B,"Villa 195, Greenfields Colony, Faridabad, Haryana",,,Anna Richards,Kid,917531000000,anna@richards.com,,28.46567402,77.29668619,India
QIN1028,Mary King,IT,Coordinator,arjun.reddy@qualcomm.in,-9699820387,1814-8058-3711,"221, Phase 2, Hyderabad",arjun.reddy@gmail.com,NGPMB1236D,"Bungalow No. 143, Hauz Khas Enclave, New Delhi",,,Amy Johnson,Mother,918640000000,amy@johnson.com,,28.54959829,77.20159066,India
QIN1061,Meera Nair,Engineering,Manager,rina.malhotra@qualcomm.in,-9272195690,5837-4334-3036,"640, Sector 1, Pune",rina.malhotra@gmail.com,IHCIM6286D,"Villa 271, Greenfields Colony, Faridabad, Haryana",,,Richard Williamson,Spouse,919486000000,richard@williamson.com,,28.46567402,77.29668619,India
QIN1047,Megan Shelton,Procurement,Analyst,deepak.iyer@qualcomm.in,-7332897684,8739-2838-4956,"623, Sector 3, Noida",deepak.iyer@yahoo.com,PEFSD7016S,"H.No. 383, Malviya Nagar, New Delhi",,,Jacqueline Brooks,Kid,918530000000,jacqueline@brooks.com,,28.53006699,77.2088118,India
QIN1007,Mrs. Lynn Jones,Project Management,Manager,priya.verma@qualcomm.in,-7242272833,6181-1830-1477,"256, Phase 7, Pune",priya.verma@outlook.com,UZEBX7280T,"Flat 66, Botanical Garden Road, Kondapur, Hyderabad, Telangana",,,Carol Shelton,Kid,918820000000,carol@shelton.com,,17.46215316,78.35240393,India
QIN1041,Nathan Livingston,IT,Executive,neha.iyer@qualcomm.in,-7882261699,6335-6170-6585,"161, Sector 20, Hyderabad",neha.iyer@gmail.com,AXXQA1403L,"Bungalow No. 432, Hauz Khas Enclave, New Delhi",,,Connor Phillips,Brother,919815000000,connor@phillips.com,,28.54959829,77.20159066,India
QIN1051,Nathan Yu,Admin,Executive,amit.sharma@qualcomm.in,-8155577097,6001-6337-8432,"731, Sector 16, Bangalore",amit.sharma@outlook.com,SQIST4118N,"Apartment 2002, Green Park Main, New Delhi",,,Jesse Skinner,Sister,918952000000,jesse@skinner.com,,28.55909283,77.20382355,India
QIN1079,Nicholas Larsen,Admin,Executive,meera.nair@qualcomm.in,-8617173386,4215-2308-5428,"286, Sector 19, Noida",meera.nair@yahoo.com,UEKVR3371Z,"House No. 260, Banjara Hills Road No. 468, Hyderabad, Telangana",,,Ian Livingston,Kid,916725000000,ian@livingston.com,,17.41908967,78.43919794,India
QIN1089,Nichole Garcia,Admin,Executive,ravi.joshi@qualcomm.in,-9495480881,5312-9693-1558,"261, Phase 12, Chennai",ravi.joshi@yahoo.com,QPECP2640W,"Plot 259, Gachibowli Main Road, Hyderabad, Telangana",,,Daniel Walker,Father,918596000000,daniel@walker.com,,17.47831349,78.32024466,India
QIN1052,Olivia Rodriguez,Compliance,Engineer,deepak.chowdhury@qualcomm.in,-7487533506,7731-7339-2707,"565, Sector 7, Hyderabad",deepak.chowdhury@yahoo.com,IQTWO3691A,"H.No. 394, Malviya Nagar, New Delhi",,,Monique Reyes,Kid,919830000000,monique@reyes.com,,28.53006699,77.2088118,India
QIN1023,Patricia Carroll,IT,Executive,amit.verma@qualcomm.in,-7197636040,9948-2641-6468,"388, Phase 15, Hyderabad",amit.verma@outlook.com,SYZVO6548L,"No. 307, 1st Cross, Indiranagar, Bangalore, Karnataka",,,Craig Cooke,Kid,918654000000,craig@cooke.com,,12.97371057,77.65258243,India
QIN1057,Paul Henderson,Compliance,Executive,kiran.kumar@qualcomm.in,-8613413547,5011-3667-8154,"488, Sector 2, Hyderabad",kiran.kumar@gmail.com,OMYZK5947P,"House No. 196, Sector 306, Gurgaon, Haryana",,,Lori Mckee,Spouse,918932000000,lori@mckee.com,,28.44623984,77.00765744,India
QIN1046,Paul Morris,Procurement,Engineer,ravi.verma@qualcomm.in,-8177587725,3183-8725-4999,"104, Sector 20, Pune",ravi.verma@outlook.com,ZUUPP2684Q,"House No. 118, HSR Layout Sector 421, Bangalore, Karnataka",,,Stephen Smith,Kid,919942000000,stephen@smith.com,,12.91344928,77.6404155,India
QIN1013,Paul Sanchez,Compliance,Executive,meera.iyer@qualcomm.in,-8007737562,5372-8266-9325,"719, Sector 19, Hyderabad",meera.iyer@outlook.com,FYIOE9490I,"Villa 468, Jubilee Hills Phase 483, Hyderabad, Telangana",,,Victor Reynolds,Father,916859000000,victor@reynolds.com,,17.42911527,78.39703216,India
QIN1037,Priya Nair,Project Management,Manager,priya.nair@qualcomm.in,-8530368759,3922-1151-6994,"138, Sector 13, Bangalore",priya.nair@gmail.com,NDGVB5437A,"Plot No. 13, Jayanagar 4th Block, Bangalore, Karnataka",,,Dugesh Nair,Kid,916133000000,brightaxis@llp.com,kin contact matches company contact,12.92801869,77.5831535,India
QIN1048,Randy Blair,Compliance,Analyst,amit.joshi@qualcomm.in,-7321850906,1844-4410-6725,"975, Sector 9, Pune",amit.joshi@gmail.com,LSOXB3877E,"Plot No. 350, Jayanagar 4th Block, Bangalore, Karnataka",,,Samantha Miller,Mother,917859000000,samantha@miller.com,,12.92754254,77.58247161,India
QIN1056,Raymond Baker,IT,Executive,suresh.malhotra@qualcomm.in,-8064687490,8785-6099-8257,"963, Phase 8, Chennai",suresh.malhotra@gmail.com,UUMIP4578P,"Flat 123, Saket DDA Apartments, New Delhi",,,Mary Robinson,Spouse,919499000000,mary@robinson.com,,28.5240261,77.20251155,India
QIN1017,Raymond Chavez,Admin,Coordinator,arjun.patel@qualcomm.in,-8894221033,8946-1961-7601,"250, Sector 2, Noida",arjun.patel@yahoo.com,PSVEX2596F,"Villa 367, Jubilee Hills Phase 333, Hyderabad, Telangana",,,Alyssa Love,Mother,916934000000,alyssa@love.com,,17.42799627,78.39560671,India
QIN1063,Rina Joshi,Engineering,Coordinator,neha.chowdhury@qualcomm.in,-9913166730,1823-3870-6651,"802, Sector 18, Pune",neha.chowdhury@gmail.com,PLRYD4949O,"House No. 339, HSR Layout Sector 117, Bangalore, Karnataka",,,Eric Joshi,Kid,918254000000,eric@joshi.com,,12.91344928,77.6404155,India
