Director,DIN,Company Name,CIN,Listed on stock exchange,Company status,ROC,Registration no,Company category,company sub category,class of company,Date of incorporation,Age of company,Activity,Address,Primary Contact,Primary Contact Email,Company Phone Number,OLD CIN
Arjun Chowdhury,19421743,"Jones, Berry and Hester",CIN0461161,No,Inactive,ROC-Delhi,268096,Company limited by Shares,Non-govt company,Public,06-02-2024,1,Consulting,"8387 Stewart Rapids, Floydview, TX 63532",Aaron Carpenter,jones@hester.com,9.18612E+11,
Priya Chowdhury,47140309,"Jones, Berry and Hester",CIN0461161,No,Inactive,ROC-Delhi,268096,Company limited by Shares,Non-govt company,Public,15-06-2024,1,Consulting,"8387 Stewart Rapids, Floydview, TX 63532",Aaron Carpenter,jones@hester.com,9.18612E+11,
Rina Sharma,52157914,"Jones, Berry and Hester",CIN0461161,No,Inactive,ROC-Delhi,268096,Company limited by Shares,Non-govt company,Public,12-12-2024,1,Consulting,"8387 Stewart Rapids, Floydview, TX 63532",Aaron Carpenter,jones@hester.com,9.18612E+11,
Priya Malhotra,70171500,"Jones, Harris and Howard",CIN9861796,No,Active,ROC-Bangalore,937336,Company limited by Shares,Non-govt company,Public,30-08-2023,2,Manufacturing,"0402 Michael Courts, Lake Cassandra, DE 10146",Katherine Dorsey,jones@howard.com,9.17274E+11,
Rina Verma,25087228,"Jones, Harris and Williams",CIN3050402,Yes,Inactive,ROC-Bangalore,867590,Company limited by Shares,Non-govt company,Public,01-09-2017,8,Consulting,"Unit 0978 Box 6671, DPO AE 24546",Erik Aguilar,jones@williams.com,9.19644E+11,
Priya Joshi,84730715,Keller-Gross,CIN9326357,Yes,Inactive,ROC-Delhi,534412,Company limited by Shares,Non-govt company,Private,08-08-2023,2,IT Services,"255 Carla Bypass Suite 894, West Jessicabury, CA 33709",Carl Williams,keller-gross@keller-gross.com,9.16539E+11,
Arjun Sharma,20353868,Lara and Sons,CIN6550541,No,Inactive,ROC-Delhi,803729,Company limited by Shares,Non-govt company,Public,05-11-2023,2,Manufacturing,"82246 Brown Port, Greenmouth, DC 10339",James Gonzalez,lara@sons.com,9.17121E+11,
Arjun Malhotra,77514081,"Leonard, Clark and Chavez",CIN7198565,No,Inactive,ROC-Delhi,568591,Company limited by Shares,Non-govt company,Private,04-12-2017,8,Manufacturing,"656 Jonathan Ports, Maryfurt, UT 57231",Joseph Hamilton,leonard@chavez.com,9.17805E+11,
Priya Verma,81217633,"Long, Carroll and Little",CIN9475321,No,Active,ROC-Bangalore,977097,Company limited by Shares,Non-govt company,Public,06-09-2018,7,IT Services,"850 Kyle Flats Suite 370, Jonesberg, TN 06706",Annette Norris,long@little.com,9.19362E+11,
Neha Iyer,64461119,Lopez-Ramirez,CIN9756378,Yes,Inactive,ROC-Bangalore,930014,Company limited by Shares,Non-govt company,Private,10-10-2017,8,IT Services,"291 Montes Isle, New Christina, NM 41008",Randall Flores,lopez-ramirez@lopez-ramirez.com,9.19941E+11,
Kiran Patel,99965164,Mack LLC,CIN4586704,No,Active,ROC-Mumbai,453282,Company limited by Shares,Non-govt company,Public,10-05-2024,1,Manufacturing,"895 Raymond Trafficway, Cohenfort, TN 55485",Christine King,mack@llc.com,9.16371E+11,
Ravi Nair,77530339,Maldonado LLC,CIN8434856,No,Active,ROC-Bangalore,405450,Company limited by Shares,Non-govt company,Public,27-08-2021,4,Manufacturing,"Unit 1384 Box 0141, DPO AP 91165",Rebecca Cabrera,maldonado@llc.com,9.17219E+11,
Kiran Kumar,80412156,"Maxwell, May and Lamb",CIN8877799,No,Inactive,ROC-Bangalore,208156,Company limited by Shares,Non-govt company,Public,27-11-2018,7,Services,"2910 Hansen Mews Apt. 056, Maddoxshire, MI 75006",Dean Brown,maxwell@lamb.com,9.17802E+11,
Meera Reddy,71079877,Merritt-Flynn,CIN6370585,Yes,Inactive,ROC-Bangalore,209867,Company limited by Shares,Non-govt company,Public,26-11-2021,4,Services,"54708 Gutierrez Burg Apt. 612, Elizabethland, SC 07992",Laura Johnson,merritt-flynn@merritt-flynn.com,9.17093E+11,
Neha Malhotra,20210553,"Moore, Brown and Jimenez",CIN3985334,No,Inactive,ROC-Delhi,876422,Company limited by Shares,Non-govt company,Private,23-03-2021,4,Manufacturing,"8184 Irwin Square Apt. 962, Jeremiahside, OR 76926",Blake Torres,moore@jimenez.com,9.16639E+11,
Kiran Kumar,80412156,"Moore, Hudson and Lee",CIN4337507,No,Inactive,ROC-Bangalore,215174,Company limited by Shares,Non-govt company,Private,29-07-2020,5,IT Services,"293 Alyssa Fort Suite 114, Lake Allen, WI 82689",Hayden Hammond,moore@lee.com,9.19664E+11,
Kiran Reddy,24599110,"Morris, Raymond and Williams",CIN4046511,Yes,Active,ROC-Delhi,356354,Company limited by Shares,Non-govt company,Private,02-02-2022,3,Manufacturing,"537 Randall Port Suite 378, Matthewton, DE 03110",Joseph Johnson,morris@williams.com,9.16907E+11,
Priya Joshi,84730715,Myers-Mills,CIN8331981,No,Active,ROC-Bangalore,661963,Company limited by Shares,Non-govt company,Private,30-08-2015,10,Manufacturing,"PSC 3522, Box 9299, APO AP 91740",Maria Russell,myers-mills@myers-mills.com,9.19367E+11,
Rina Sharma,52157914,"Newman, Prince and Spencer",CIN6736910,Yes,Active,ROC-Bangalore,338110,Company limited by Shares,Non-govt company,Public,09-06-2020,5,Manufacturing,"USCGC Jones, FPO AA 15942",Tammy Stewart,newman@spencer.com,9.18604E+11,
Ravi Joshi,32170979,Olson-Rivera,CIN5402441,No,Active,ROC-Bangalore,978961,Company limited by Shares,Non-govt company,Public,01-02-2023,2,Services,"4167 Rebecca Ridge Suite 699, East Kim, UT 55058",Angela Barnett,olson-rivera@olson-rivera.com,9.18261E+11,
Ravi Patel,40186181,Owen-Shaffer,CIN8486807,Yes,Active,ROC-Bangalore,254943,Company limited by Shares,Non-govt company,Private,12-11-2018,7,Services,"08344 Mitchell Plain, Floresbury, CA 49275",Michael Rich,owen-shaffer@owen-shaffer.com,9.18956E+11,
Ravi Reddy,21982513,"Pearson, Black and Sanchez",CIN2019604,Yes,Active,ROC-Delhi,324151,Company limited by Shares,Non-govt company,Private,03-03-2021,4,Services,"PSC 9386, Box 7010, APO AE 13716",Crystal Mckay,pearson@sanchez.com,9.1961E+11,
Suresh Kumar,65349780,"Pearson, Mann and Hall",CIN9996553,No,Inactive,ROC-Delhi,308089,Company limited by Shares,Non-govt company,Private,24-07-2023,2,IT Services,"95795 Denise Junction, Haaston, AK 34516",Kyle Gregory,pearson@hall.com,9.17048E+11,
Priya Malhotra,70171500,"Pena, West and Cross",CIN6724629,No,Inactive,ROC-Bangalore,741254,Company limited by Shares,Non-govt company,Public,03-02-2023,2,Manufacturing,"14866 Richardson Circles Suite 921, South Philipmouth, IL 38119",Brandy Walker,pena@cross.com,9.1639E+11,
Arjun Malhotra,23803672,Perez-Wolfe,CIN0073431,Yes,Inactive,ROC-Delhi,856156,Company limited by Shares,Non-govt company,Public,16-10-2023,2,Services,"8613 Davis Crest, Gregoryland, CA 55846",Tiffany Vasquez,perez-wolfe@perez-wolfe.com,9.18743E+11,
Deepak Joshi,70229554,"Perry, Weber and Grant",CIN9308245,No,Inactive,ROC-Mumbai,708961,Company limited by Shares,Non-govt company,Public,20-02-2019,6,Services,"USCGC Daugherty, FPO AE 03035",Bryce Jennings,perry@grant.com,9.16873E+11,
Priya Sharma,49958465,Phillips-Mullins,CIN2689963,Yes,Active,ROC-Delhi,268833,Company limited by Shares,Non-govt company,Public,01-11-2021,4,IT Services,"995 Gary Landing Apt. 917, Karenburgh, CT 86655",Mr. Paul Jenkins MD,phillips-mullins@phillips-mullins.com,9.17672E+11,
Rina Verma,25087228,Price Group,CIN6731962,Yes,Inactive,ROC-Delhi,367230,Company limited by Shares,Non-govt company,Public,16-03-2016,9,Services,"121 House Knoll Apt. 785, Michaelfurt, CT 67153",Ms. Kristin Santiago,price@group.com,9.17466E+11,
Neha Iyer,64461119,Roberson PLC,CIN7862611,Yes,Active,ROC-Mumbai,142488,Company limited by Shares,Non-govt company,Private,14-03-2017,8,Services,"USCGC Hood, FPO AA 88855",Rhonda Grant,roberson@plc.com,9.18639E+11,
Deepak Joshi,70229554,Robinson Group,CIN7338152,Yes,Active,ROC-Mumbai,426532,Company limited by Shares,Non-govt company,Public,24-11-2018,7,Manufacturing,"21712 Michael Valleys, Port John, NE 45256",Stephen Hamilton,robinson@group.com,9.18381E+11,
Rina Joshi,84141337,Robinson-Cole,CIN4641057,Yes,Inactive,ROC-Mumbai,590095,Company limited by Shares,Non-govt company,Private,03-10-2018,7,Consulting,"0668 Calderon Extensions, Richardsonport, KS 66407",Jason Howe,robinson-cole@robinson-cole.com,9.19166E+11,
Neha Iyer,64461119,Robles-Andrade,CIN0864797,No,Active,ROC-Delhi,413655,Company limited by Shares,Non-govt company,Public,08-01-2022,3,IT Services,"661 Bradley Drive, Port Janice, ME 48314",Tracy Kirby,robles-andrade@robles-andrade.com,9.17306E+11,
Priya Joshi,84730715,Rose-Garcia,CIN0149601,No,Active,ROC-Delhi,800815,Company limited by Shares,Non-govt company,Private,26-03-2020,5,Consulting,"667 Brian Meadows, Holmesberg, DC 25989",Julie Olson,rose-garcia@rose-garcia.com,9.16988E+11,
Arjun Chowdhury,19421743,Santiago-Lewis,CIN8071660,No,Inactive,ROC-Delhi,403944,Company limited by Shares,Non-govt company,Private,10-09-2016,9,Manufacturing,"425 Justin Lodge, Lynnchester, NV 99100",Cindy Phillips,santiago-lewis@santiago-lewis.com,9.18166E+11,
Deepak Malhotra,22092028,Smith Ltd,CIN5220973,Yes,Active,ROC-Delhi,814464,Company limited by Shares,Non-govt company,Public,08-01-2017,8,Consulting,"1275 Ryan Inlet Apt. 702, Matthewmouth, WA 96449",Gabriel Martinez,smith@ltd.com,9.17915E+11,
Rina Sharma,52157914,Smith PLC,CIN7228433,Yes,Active,ROC-Bangalore,456364,Company limited by Shares,Non-govt company,Public,12-08-2015,10,Services,"6244 Carrillo Tunnel, Lake Patriciamouth, AL 05724",Justin Garcia,smith@plc.com,9.16429E+11,
Arjun Sharma,20353868,"Solis, Nguyen and Garcia",CIN3514016,Yes,Inactive,ROC-Mumbai,813343,Company limited by Shares,Non-govt company,Public,08-03-2016,9,Services,"76218 Catherine Freeway, South Patriciabury, ME 22891",Christina Smith,solis@garcia.com,9.18323E+11,
Priya Malhotra,70171500,"Sullivan, Tran and Owen",CIN7405456,No,Inactive,ROC-Bangalore,802844,Company limited by Shares,Non-govt company,Private,30-10-2022,3,Manufacturing,"PSC 1448, Box 4432, APO AP 27280",Jordan Murphy,sullivan@owen.com,9.16108E+11,
Ravi Nair,77530339,"Tanner, Farrell and Hale",CIN6076415,Yes,Inactive,ROC-Bangalore,811332,Company limited by Shares,Non-govt company,Private,24-08-2018,7,Services,"538 Kaitlyn Turnpike Apt. 736, New Elaine, MO 73964",John Noble,tanner@hale.com,9.18745E+11,
Ramu Roy,80712177,"Thomas, Leonard and Carter",CIN5805158,No,Inactive,ROC-Delhi,971297,Company limited by Shares,Non-govt company,Private,19-04-2022,3,Manufacturing,"08113 Young Point, Port Nicoleside, MT 73269",Derrick Johnson,thomas@carter.com,9.16053E+11,
Kiran Iyer,12734869,Thompson Group,CIN5717333,No,Inactive,ROC-Bangalore,721183,Company limited by Shares,Non-govt company,Public,24-07-2021,4,Consulting,"135 Samuel Shores Suite 072, North Vickie, GA 24036",Joel Werner,thompson@group.com,9.16751E+11,
Priya Chowdhury,47140309,"Walker, Calderon and Cole",CIN5904470,Yes,Active,ROC-Mumbai,340003,Company limited by Shares,Non-govt company,Public,17-09-2018,7,IT Services,"851 Christopher Canyon Suite 030, Port Dawn, VT 07154",Kaylee Chavez,walker@cole.com,9.16105E+11,
Suresh Malhotra,20983203,"Wallace, Lynch and Lawson",CIN8652165,Yes,Inactive,ROC-Mumbai,593307,Company limited by Shares,Non-govt company,Public,04-06-2020,5,Services,"619 Kelley Land, Bensonberg, MI 92199",Rachel Herman,wallace@lawson.com,9.1632E+11,
Arjun Sharma,20353868,Warner-Hernandez,CIN1512443,No,Inactive,ROC-Bangalore,792670,Company limited by Shares,Non-govt company,Public,04-07-2023,2,Services,"723 Allen Mountains, Port Larry, GA 26307",Tina Liu,warner-hernandez@warner-hernandez.com,9.19279E+11,
Deepak Malhotra,22092028,Watkins LLC,CIN6764201,Yes,Inactive,ROC-Mumbai,957333,Company limited by Shares,Non-govt company,Public,21-11-2016,9,Services,"2627 Melissa Avenue, Port Laura, AZ 13373",Robert Shaw,watkins@llc.com,9.18342E+11,
Arjun Malhotra,77514081,"Webb, Perez and Harrison",CIN7846933,No,Active,ROC-Bangalore,921570,Company limited by Shares,Non-govt company,Private,24-11-2021,4,Consulting,"31385 Ramsey Neck Apt. 750, South Brandonland, NC 18331",Tyler Marsh,webb@harrison.com,9.19879E+11,
Kiran Nair,53433762,Weeks Group,CIN5205549,Yes,Inactive,ROC-Mumbai,173983,Company limited by Shares,Non-govt company,Public,24-12-2023,2,Manufacturing,"8037 Patricia Lakes Suite 558, Mollyton, SC 88712",Taylor Bell,weeks@group.com,9.19063E+11,
Neha Patel,57984248,"Welch, Paul and Johnston",CIN0455673,Yes,Inactive,ROC-Mumbai,678188,Company limited by Shares,Non-govt company,Public,29-07-2018,7,Services,"70625 Mueller Plain Suite 421, Port Brenda, MD 10418",Mark Hunter,welch@johnston.com,9.19402E+11,
Ravi Nair,77530339,Wilkins and Sons,CIN6429540,No,Inactive,ROC-Mumbai,149577,Company limited by Shares,Non-govt company,Public,27-01-2022,3,IT Services,"06212 Fisher Tunnel, Claytonland, AK 16493",Sandra Stewart,wilkins@sons.com,9.1994E+11,
Meera Reddy,71079877,Williams-Mason,CIN3912839,Yes,Inactive,ROC-Mumbai,212686,Company limited by Shares,Non-govt company,Public,01-11-2018,7,Consulting,"49319 Miller Plaza, Port Selena, WY 63934",Jonathan Christensen,williams-mason@williams-mason.com,9.18625E+11,
Meera Chowdhury,91920985,Wood-Anderson,CIN7863169,Yes,Active,ROC-Delhi,326484,Company limited by Shares,Non-govt company,Private,29-07-2022,3,Services,"5058 Deborah Common Suite 295, Daltonside, MO 83719",Linda Ellis,wood-anderson@wood-anderson.com,9.17342E+11,
Ravi Nair,77530339,Wyatt-Brown,CIN8782788,Yes,Inactive,ROC-Mumbai,917478,Company limited by Shares,Non-govt company,Public,31-01-2023,2,IT Services,"8146 Morgan Crossroad, Caldwellside, RI 41049",Sarah Santiago,wyatt-brown@wyatt-brown.com,9.17915E+11,
Suresh Patel,14435570,Yang Group,CIN0987834,Yes,Inactive,ROC-Delhi,408233,Company limited by Shares,Non-govt company,Public,15-08-2020,5,Services,"PSC 5264, Box 7879, APO AE 07759",Amber Gardner,yang@group.com,9.16027E+11,
Rina Verma,25087228,"Yang, Barrera and Henson",CIN3678305,No,Inactive,ROC-Bangalore,614080,Company limited by Shares,Non-govt company,Private,24-05-2020,5,Consulting,"751 Thomas Way, South Randall, MS 41064",Heather Moore,yang@henson.com,9.19148E+11,
Suresh Patel,14435570,Young Ltd,CIN1361023,Yes,Active,ROC-Mumbai,556264,Company limited by Shares,Non-govt company,Private,18-05-2016,9,Manufacturing,"0222 Garner Fall, New Stephanie, WI 64189",Angela Leon,young@ltd.com,9.19622E+11,
